TF_IDF_SearchEngine:
Query 1: Romantic comedy
	1. (31148, 'Oyee', 'The movie is based on 2004 South Korean romantic comedy Too Beautiful to Lie.[5]', 0.7448743681365304, 0.5448743681365303)
	8. (16173, 'Argo', 'On November 4, 1979, Iranian activists storm the United States embassy in Tehran in retaliation for President Jimmy Carter giving the Shah asylum in the U.S. during the Iranian Revolution. 60 of the embassy staff are taken as hostages, but six avoid capture and are sheltered in the home of Canadian ambassador Ken Taylor. With the escapees\' situation kept secret, the U.S. State Department begins to explore options for exfiltrating them from Iran. Tony Mendez, a U.S. Central Intelligence Agency exfiltration specialist, is brought in for consultation. He criticizes the proposals, but is at a loss when asked for an alternative. While on the phone with his son, he is inspired by watching Battle for the Planet of the Apes and begins plans for creating a cover story for the escapees: that they are Canadian filmmakers who are in Iran scouting exotic locations for a science-fiction film.\r\nMendez contacts John Chambers, a Hollywood make-up artist who had previously worked for the CIA. Chambers puts Mendez in touch with film producer Lester Siegel. Together, they set up a phony film production company, publicize their plans, and successfully establish the pretense of developing Argo, a "science fantasy adventure" in the style of Star Wars, to lend credibility to the cover story. Meanwhile, the escapees grow restless. The revolutionaries reassemble embassy photographs shredded before the takeover and finally realize that some personnel are unaccounted for.\r\nPosing as a producer for Argo, Mendez enters Iran under the alias Kevin Harkins and meets with the six escapees. He provides them with Canadian passports and fake identities. Although afraid to trust Mendez\'s scheme, they reluctantly go along, knowing that he is risking his own life too. A scouting visit to the bazaar to maintain their cover story takes a bad turn when they are harassed by a hostile shopkeeper, but their Iranian culture contact hustles them away from the hostile crowd.\r\nMendez is told that the operation has been cancelled to avoid conflicting with a planned military rescue of the hostages. He pushes ahead anyway, forcing his boss Jack O\'Donnell to hastily re-obtain authorization for the mission and confirm their tickets on a Swissair flight. Tensions rise at the airport, where the escapees\' ticket reservations are confirmed at the last minute, and the head guard\'s call to the fake production company in Hollywood is answered only at the last second. The group boards the airliner, which takes off just as the Revolutionary Guards at the airport are informed of the ruse and try to stop them.\r\nTo protect the hostages remaining in Tehran from retaliation, all U.S. involvement in the rescue is suppressed and full credit is given to the Canadian government and its ambassador (who shuts down the embassy and leaves Iran with his wife as the operation is underway). The ambassador\'s Iranian housekeeper, who had known about the Americans and lied to the revolutionaries to protect them, escapes to Iraq. Mendez is awarded the Intelligence Star, but due to the mission\'s classified nature, he receives the medal in secret and has to return it afterwards. The award is restored to him after the Canadian Caper is declassified in 1997.', 0.299973340910886, 0.09997334091088597)
	9. (13432, 'Breakfast of Champions', "Dwayne Hoover, a car salesman who is the most respected businessman in Midland City, Indiana, is on the verge of a nervous breakdown, even attempting suicide daily. His wife, Celia, is addicted to pills, and his sales manager and best friend, Harry Le Sabre, is preoccupied with his own secret fondness for wearing lingerie, worried he will be discovered. Meanwhile, a little-known science fiction author, Kilgore Trout, is hitchhiking across the United States to speak at Midland City's arts festival. In search of answers for his identity quest, Hoover decides to attend the festival.", 0.29828565604081847, 0.16495232270748517)
	10. (9867, 'Modern Romance', "Robert Cole (Albert Brooks) is a Hollywood film editor right in the middle of cutting a new science fiction film featuring George Kennedy. His relationship with very patient bank executive Mary Harvard (Kathryn Harrold) is caught between undying devotion and endless agony. It's all because selfish Robert is a bit of a self-involved neurotic who can't quite decide if their relationship is meant to be, mainly because he's not sure if she's the one or there's someone else.\r\nRobert breaks off their relationship only to find that modern romance isn't as easy as it seems, and the people you love might be the ones you constantly hurt the most. He and Mary end up driving to a cabin in Idyllwild, California, where intense jealousy causes Robert to alternately accuse and annoy Mary and propose marriage to her.", 0.2940668690366173, 0.16073353570328394)

Query 3: Action thriller
	1. (25015, 'Haathkadi', 'Haathkadi is a suspense thriller [1]', 0.7010378995759885, 0.6010378995759885)
	2. (24687, 'Chhalia 1973', 'Chhalia is a family thriller.', 0.5968500602568642, 0.4968500602568641)
	3. (30821, 'Nalamdhana', 'An investigative thriller based on the search for a missing youngster.', 0.5601579072647536, 0.4601579072647536)
	4. (25568, 'Kranti Kshetra', 'Kranti Kshetra is a Campus-based Action thriller starring Mithun Chakraborty with Shakti Kapoor and Gulshan Grover.', 0.5568282192705418, 0.35682821927054176)
	5. (32458, 'Seesa', "Seesa is a thriller film all about human emotions in a bottle, where a 'ghost' takes revenge on her enemies.", 0.5549720304514036, 0.45497203045140366)
	6. (23793, 'Santrash', 'A fast-paced thriller, with Mithun in the lead.', 0.5429302210704748, 0.44293022107047486)
	7. (18519, 'The Nursemaid Who Disappeared', 'In this thriller, a playwright overhears a gang of men plotting a kidnapping and enlists the assistance of a detective to investigate them. They soon find the ring is fronted by a bogus employment agency that sends "clients" to check out potential victims. Action ensues as they endeavor to stop them.[4]', 0.4998776036473468, 0.2998776036473468)
	8. (23791, 'Rasta', 'A fast-paced thriller, with Mithun providing the Twist.', 0.494438531359077, 0.394438531359077)
	9. (5512, 'Submarine Command', 'Commander White (William Holden), during an enemy attack, orders that his submarine dive to avoid destruction. Though his action saves his crew, it results in the death of the machine-gunner left topside during the attack.[3] The bulk of the movie follows his career in the Navy after the war as his doubt and guilt wear on his marriage. Then, just as he is about to resign from the Navy to escape the ghosts of his past, the Korean War begins and the movie concludes as an action thriller.[4]', 0.4924386739022919, 0.2924386739022919)
	10. (27335, 'Sa...', 'SA Kannada Movie is a thriller action cinema starring Vijay Suriya , Karthik Jayaram, Samyuktha Hornad, Hemanth Hegde, Directed by Hemanth Hegde. The story takes place in Coorg in the background of a Home stay. A personal conflict in the family turns to be serious when an external intruder enter the family. The story has very unusual touch of terror and thriller. How ever the forte of the filmmaker is his screenplay and it is well depicted in this movie too. It was in Story for the controversial Poster that was set in Bangalore [1]', 0.4912362605721307, 0.2912362605721307)

Query 4: Historical drama
	1. (25337, 'Lal Dupatta Malmal Ka', 'This is a romantic drama movie.[2]', 0.5273632613320212, 0.4273632613320212)
	2. (34074, 'Mulleya Mulleya', 'A historical drama about the life of a widow. 15th century life was sometimes cruel to Korean women and this story depicts a lot of the injustices that could occur as happening to Kil-Rye, the heroine.[8]', 0.517439128853507, 0.31743912885350695)
	3. (28593, 'Aadesh - Power Of Law', 'Film is a Journey of Public Prosecutor and it is a court drama.', 0.3907607719454771, 0.2907607719454771)
	4. (18259, 'Colonel Blood', 'The plot is based on a dramatised account of the exploits of the historical renegade, Thomas Blood, in the 17th century and his attempted theft of the British Crown jewels.', 0.3450297085554531, 0.24502970855545314)
	5. (11124, "Bill & Ted's Excellent Adventure", "In 1988 San Dimas, California, slackers Bill and Ted rather pursue their band the Wyld Stallyns than schoolwork. Ted's father, the local police chief, threatens to send Ted to military school if they should flunk their history class, ruining their dreams of success. The two struggle to assemble a final report for the class, which is to describe how historical figures would see modern-day San Dimas.\r\nIn 2688, humanity has built a utopia thanks to the music and wisdom of Bill and Ted. The Supreme Beings of this world instruct Rufus to travel back in time by a time machine disguised as a phone booth to give aid to Bill and Ted to assure they pass their class. Rufus lands by the two as they work on their report near a Circle K. As he introduces himself, a second phone booth lands nearby and future versions Bill and Ted come out, proving their identity to their younger selves and telling them to trust Rufus before they leave. Rufus offers to show the teens how the machine works, taking them to Austria in 1805 where Napoleon Bonaparte is commanding the French army. Assured the machine works, Rufus, Bill and Ted return to the present, though Napoleon, knocked back by an explosion, is caught in the phone booth's wake and dragged with them. Back at Ted's house, Rufus provides the teens additional instructions and then leaves. The two find Napoleon nearby, and come upon an idea of taking historical figures from the past to bring them to the present to complete their report. They leave Napoleon with Ted's younger brother Deacon and set out.\r\nSeparately, they gain the trust of Billy the Kid from 1879 and Socrates from 410 BC and bring them along. They next land in medieval England and see two princesses who flirt with them. In their attempt to see the princesses, they are caught by their father, the local duke, and ordered to be beheaded, but they are rescued by Billy and Socrates. Ted suggests that since they still have time before their report is due, they go for extra credit and set out to obtain more historical figures, including Sigmund Freud, Ludwig van Beethoven, Joan of Arc, Genghis Khan and Abraham Lincoln. With no more space in the booth, they decide to return home, but end up at the Circle K, witnessing their younger selves on the night before the report. They repeat their advice to them about Rufus, and then ask Rufus how to get to their present time.\r\nBack in their current timeframe, with hours before the report presentation, Bill and Ted leave the historical figures at the local mall to experience San Dimas, while they try to track down Napoleon, whom Deacon had ditched the previous night. They find Napoleon at the Waterloo water park, but by the time they return to the mall, the historical figures had caused a commotion and are now in prison under Ted's dad watch. They develop a plan to use the time machine to plant elements to help free the historical figures, and make their way to the school, barely arriving in time for their presentation. With the help of the historical figures, the two give an impressive presentation that assures they pass the course.\r\nAfter returning the historical figures, Bill and Ted return to practice, when Rufus shows up with the two princesses in tow, having rescued them himself since he knows they will be their wives and bandmates in the future. As the band starts to play, terribly, Rufus does explain to the audience that they will get better.", 0.34480177260024364, 0.24480177260024363)
	6. (31437, 'Keelu Bommalu', 'Drama of a student of religion who comes to realise he is selfish and learns to help others.', 0.3432986454261003, 0.24329864542610027)
	7. (24845, 'Shatranj Ke Khiladi', 'The film shows in parallel the historical drama of the Indian kingdom Awadh (whose capital is Lucknow) and its Muslim Nawab Wajid Ali Shah who is overthrown by the British, alongside the story of two noblemen who are obsessed with shatranj, an ancient form of chess.[5]\r\nSatyajit Ray portrays the Nawab as an extravagant but sympathetic figure. He is an artist and poet, no longer in command of events and unable to effectively oppose the British demand for his throne. Parallel to this wider drama is the personal (and sometimes humorous) tale of two rich noblemen of this kingdom, Mirza Sajjad Ali and Mir Roshan Ali. Inseparable friends, the two nobles became passionately obsessed with the game of shatranj (chess), neglecting his (Mirza Sajjid Ali) wife and failing to act against the real-life seizure of their kingdom by the East India Company. Instead, the two nobles abandon their families and responsibilities, fleeing from Lucknow to play chess in village exile untroubled by greater events. Ray\'s basic theme in the film is the message that the detachment of India\'s ruling classes assisted a small number of British officials and soldiers to take over Awadh without opposition.\r\nThe role of Captain Weston, so British in his ways, but in love with Urdu poetry, is also worth noting.\r\nIn the last scene, after which Mir shoots at Mirza and complains out loud "I won\'t have a partner to play chess with", Mirza responds to him "but you have one in front of you!" (thus making him understand that he forgives him). He finally concludes that "after nightfall, we will go back home. We both need darkness to hide our faces."', 0.32809971791237286, 0.12809971791237285)
	8. (27721, 'Kanaka Simhasanam', 'The movie tells the story of Kanakambaran (Jayaram), who runs a drama troupe along with his wife Bharati (Karthika). The company is operating at a loss, but the couple struggle to keep it going as their creditors are breathing down their necks.\r\nOne day, they strike gold when Udaya Varma (Janardhanan) and Ramakrishnan (Bheemnan Raghu) ask them to take part a real-life drama: they want Kanakambaran to play Suryanarayanan, the heir to the throne of the palace and childhood sweetheart of the princess Kanjanalakshmi (Lakshmi Gopalaswamy). Kanakambaran takes up the challenge and also places his wife as the cook at the royal palace; in the meantime, a bad guy Narasimhan (Kiran Raj) also has an eye for Kanjanalakshmi. After many days Kanakambaran learns that he was originally Suryanarayanan who was adopted by the palace cook. After a fight, Kanakambaran returns to drama world and Narasimhan becomes a good man. Later, Kanjanalakshmi is married to Narasimhan. The story ends with the song of the drama couples dancing.[1]', 0.32662799244664975, 0.22662799244664972)
	9. (18038, 'Nothing Else Matters', 'A comedy/drama genre film, about the life of a British Music Hall comic.', 0.3174149468156058, 0.21741494681560575)
	10. (23759, 'Kalankini Kankabati', 'Kalankini Kankabati is a period drama, where Mithun stars opposite Sharmila Tagore.', 0.30160427259548067, 0.20160427259548067)

Query 5: Horror film
	1. (11734, "There's Nothing Out There", "A frog-like alien attacks a group of teenagers who are camping, to mate with the girls. A boy's previous horror film viewing helps them fight against the monster.[1][2]", 0.49899338914554037, 0.29899338914554036)
	2. (26768, 'Neighbours: They Are Vampires', "Sanam is a horror buff, she has horror films and literature filling up her room, much to the annoyance of her family. Therefore, she is shocked to find out that vampires (who are on a killing spree in the city) have made their abode opposite her house.\r\nNobody believes Sanam, when she tells everyone that her neighbours are vampires. Not her family nor her friends, even her professor doesn't pay attention to her.", 0.49101460149038206, 0.29101460149038205)
	3. (10737, 'I Was a Teenage Zombie', 'The film begins like a 1980s comedy with teens looking to purchase some marijuana but turns into comedy/horror genre when a drug dealer is pushed into the river and becomes a zombie.', 0.44148985140625907, 0.2414898514062591)
	4. (4501, 'The Late George Apley', "George Apley (Ronald Colman) is a stuffy, self-satisfied member of Boston's upper class, supremely confident of the superiority of his hometown. However, his comfortable, predictable world is overturned when he learns, to his horror, that both his son and his daughter have fallen in love with non-Bostonians. However, he is eventually brought around to see reason.\r\nDespite the film's title, unlike the book and play, George Apley does not die in the film.[3]", 0.4007305501313257, 0.20073055013132568)
	5. (33558, 'Galaxy Turnpike', 'The film is set in 2265.[3]', 0.383013187406839, 0.283013187406839)
	6. (10770, "Morgan Stewart's Coming Home", "The film stars Cryer as Morgan Stewart, the son of a Republican senator from Virginia who has spent most of his life away at boarding school. An eccentric boy who is a fan of horror films, his personality does not fit in with the carefully calculated conservative image his mother (Redgrave) has designed for their family. He is brought home to help with his father's campaign for re-election as Senator, and unwittingly discovers that others are setting the family up for the fall. With the help of a zany new girlfriend (Davis) he manages to save the day, and loosen up his family in the process.", 0.37566909164982765, 0.17566909164982764)
	7. (8069, 'Chamber of Horrors', 'Danova and Hyde-White are proprietors of a wax museum in Baltimore who are also amateur sleuths. They are drawn into the investigation of Jason Cravette (O\'Neal), an insane murderer who kills a woman and then "marries\' her. They help the police capture him, but he escapes and vows vengeance on all who "betrayed" him.\r\nThe film used the gimmicks of the Fear Flasher and the Horror Horn to alert viewers to grisly moments.[1] The film was released theatrically because it was too intense for television.[2] The gimmicks were added (along with a few star cameos like Tony Curtis, Suzy Parker, and Marie Windsor) to increase the running time. There are plot similarities between this and Dark Intruder, which was released the previous year.\r\nThe film is narrated by William Conrad.', 0.3587195079182778, 0.1587195079182778)
	8. (21106, 'Hollow', 'The film tells the story of an "old monastery in a small, remote village in Suffolk, England that has been haunted by a local legend for centuries. Left in ruin and shrouded by the mystery of a dark spirit that wills young couples to suicide, the place has been avoided for years, marked only by a twisted, ancient tree with an ominous hollow said to be the home of great evil. When four friends on holiday explore the local folklore, they realize that belief in a myth can quickly materialize into reality, bringing horror to life for the town."[3]', 0.3501250864287645, 0.1501250864287645)
	9. (21196, 'Berberian Sound Studio', "British sound engineer Gilderoy (Toby Jones) arrives at the Berberian film studio in Italy to work on what he believes is a film about horses. During a surreal meeting with Francesco, the film's producer, Gilderoy is shocked to find the film is actually an Italian giallo film, The Equestrian Vortex.[3] He nonetheless begins work in the studio, at one point made to do Foley work, using vegetables to create sound effects for the film's increasingly gory torture sequences, and mixing voiceovers from session artists, Silvia and Claudia, into the score.\r\nAs time passes, and Gilderoy feels more and more disconnected from his mother at home, he begins to fear he's out of his depth. His colleagues seem increasingly rude – to both himself and to each other. The horror sequences grow ever more shocking, yet Santini, the director, refuses to admit they are working on a horror film. And, after a long passage through the bureaucracy of the film studio's accounts department, it turns out the plane ticket Gilderoy submitted for a refund can't be processed because the flight didn't actually exist.\r\nThe plot, from here on in, grows increasingly erratic. Gilderoy hears and sees things in the night. He discovers Silvia, the voiceover artist, was molested by Santini. She storms out, destroying much of their work, forcing Gilderoy to re-record the dialogue with a new actress, Elisa. As Silvia's recording sequences are revisited again, and tension grows between Gilderoy and the others, the boundaries between the blood-drenched giallo thriller and real life begin to erode. Gilderoy imagines he himself is in a film about his life – suddenly fluent in Italian and increasingly detached and vicious. After he and Francesco essentially torture Elisa during a recording session, she walks out, leaving history to repeat itself yet again, and Gilderoy to contemplate the monster he has become.", 0.3445711953849288, 0.1445711953849288)
	10. (8674, 'The Hellstrom Chronicle', 'A fictitious scientist called Dr. Nils Hellstrom (played by Lawrence Pressman) guides viewers throughout the film. He claims, on the basis of scientific-sounding theories, that insects will ultimately win the fight for survival on planet Earth because of their adaptability and ability to reproduce rapidly, and that the human race will lose this fight largely because of excessive individualism. The film combines short clips from horror and science fiction movies with extraordinary camera sequences of butterflies, locusts, wasps, termites, ants, mayflies, other insects rarely seen before on film and insectivorous plants/insects.\r\nTechnical advisers Roy Snelling and Charles Hogue, were entomologists at the Los Angeles County Museum of Natural History.[2]', 0.3432679391865342, 0.14326793918653416)

Query 6: Fantasy epic
	1. (28822, 'Valaiyapathi', 'The film is based on the epic Valayapathi from one of The Five Great Epics of Tamil Literature.[3]', 0.6413107206670151, 0.5413107206670151)
	2. (29058, 'Mahaveera Bheeman', 'Mahaveera Bheeman is a character in the Indian Epic Mahabharata written by Vedha Vyasa. The film depicts the part of his life story as told in the epic.', 0.5302238016095745, 0.4302238016095745)
	3. (33298, 'Yona Yona Penguin', 'An animated adventure about three children who travel to a fantasy land.', 0.39279750650356227, 0.29279750650356223)
	4. (28783, 'Krishna Vijayam', 'The film is about the epic story of Krishna, an avatar of Lord Vishnu. The story is about his birth, elimination of his uncle, the King Kamsa and his boyhood Leelas with gopikas.', 0.3547282707361282, 0.25472827073612825)
	5. (27349, 'Hebbuli', "The story begins with Captain Ram ( Sudeep ) performing a rescue operation rescuing 3 doctors including Dr. Nandini (Amala paul). Nandini falls in love with him but is not able to express it. Meanwhile, another doctor named Harish (Chikkanna) has a crush on Nandini. One night Ram receives a letter stating his brother IAS officer Krishnamurthy ( Ravichandran ) is dead. He arrives at bangalore and then searches for clues because the view was of suicide but Ram believes it is a murder. He is right and how he solves the case and kills his brother's killers is the epic climax of this epic movie.", 0.3527518295907903, 0.2527518295907903)
	6. (18252, 'The Wandering Jew', "The plot follows the titular character's epic journey. He is finally burnt at the stake by the Spanish Inquisition. As he burns, he is forgiven by God and finally allowed to die. The story bears a resemblance to the legend of the Flying Dutchman.", 0.31670185517211785, 0.21670185517211785)
	7. (33898, 'Dark World', 'A group of students on a field trip to Lapland uncovers an ancient shield. One of the students gets possessed by some sort of spirit essence and when a supposed rescue team arrives an epic battle over an entity trapped in the shield begins.', 0.3114368539074834, 0.21143685390748337)
	8. (21629, 'The Lucky Star', 'A young Jewish boy who escapes from the traumas of the war-torn Netherlands by living in a fantasy world of American westerns.', 0.3089455244020069, 0.2089455244020069)
	9. (17436, 'Fantasm', 'German psychiatrist Professor Jurgen Notafreud takes the audience through a series of female sexual fantasies including:', 0.30775830906379664, 0.2077583090637966)
	10. (18857, 'Golden Arrow', 'On a journey from Paris to London, a Briton, a Frenchman and an American bond with each other and indulge in a romantic fantasy about a girl they see.', 0.2950947351516802, 0.19509473515168022)

Query 7: Biographical film
	1. (30161, 'Bharathi', 'It is a biographical film based on the life of Tamil poet Subramania Bharati.', 0.6775296087944351, 0.4775296087944352)
	2. (34111, 'A Single Spark', 'A biographical film about Jeon Tae-il, a worker who protested labor conditions through self-immolation.[2]', 0.5949794113472737, 0.39497941134727377)
	3. (28475, 'Mee Sindhutai Sapkal', 'The film is a biographical account of Sindhutai Sapkal, a woman who became a social activist after a traumatic life. Born in a poor, cattle grazing family in Wardha as Chindi (Ragamuffin), Sindhutai was first married off at the age of 10 to a man who was 20 years elder to her and then abandoned by her husband on charges of infidelity.\r\nTraveling through the backwaters of Maharashtra, the Braveheart never abandoned hope and courage and ended up in San Jose on a fund-raising mission for her orphanage which still provides shelter to homeless kids.[1]', 0.4456032911522865, 0.2456032911522865)
	4. (22237, 'Born to Be Blue', 'The film is described as "semi-factual, semi-fictional".[8] Variety\'s reviewer, Andrew Barker, noted that the film is "about a character who happens to share a name and a significant number of biographical similarities with Chet Baker, taking the legendary West Coast jazz musician\'s life as though it were merely a chord chart from which to launch an improvised set of new melodies".[2] Set largely in 1966, Baker (portrayed by Ethan Hawke) is hired to play himself in a movie about his earlier years when he first tried heroin. He romances actress Jane Azuka (a fictional character, a composite of several of Baker\'s women in real life, portrayed here by Carmen Ejogo) but on their first date, Baker is attacked by thugs and his front teeth smashed. As Baker recovers from his injury, his embouchure is ruined and he is unable to play trumpet any better than a novice. Meanwhile, he must answer to a probation officer, and ensure he is employed, while sticking to his regime of methadone treatment.', 0.35186652015855163, 0.15186652015855162)
	5. (22261, 'The Waiting Room 2015', 'Jasmin, once a successful actor in former Yugoslavia, now lives in Toronto with his second wife and young son. While juggling a construction job and a busy audition schedule, he dreams of re-launching an old televised stage show that made him famous in his homeland. When he is cast in a role that triggers recollections of the civil war, he is forced to reconcile his current reality with memories of his past success. The idea behind this movie was rooted in the director\'s experiences in Toronto from performances by former Yugoslavians. This movie combines fiction with biographical elements in partially being inspired by the main character\'s lie in Toronto. The main character, Jasmin, was a successful actor in pre-war Sarajevo, which was part of a wildly popular televised stage show Audicija (The Audition). The director notes that he was very drawn to the idea of exploring the intersection between reality and fiction within the film because he wanted it to be a study of an immigrant performer, not a film that is about immigration. This movie focuses a great deal on the fiction portion of the film because the director did not want the movie to be a depiction of war during that time. This is because he did not want the movie to become a re-enactment of true events. The film sought to create a world whereby the story was inspired by true events during that time, but focused on the fictional portion in order for the film to not become a re-enactment during the time of war. http://www.timelapsepictures.ca/portfolio/cekaonica-the-waiting-room/ref name="undefined" />\r\n\r\n', 0.3446134102699868, 0.1446134102699868)
	6. (7600, 'Freud: The Secret Passion', "This pseudo-biographical movie depicts Sigmund Freud's life from 1885 to 1890. At this time, most of his colleagues refused to treat hysteric patients, believing their symptoms to be ploys for attention. Freud, however, learns to use hypnosis to uncover the reasons for the patients' neuroses through his mentor and friend Josef Breuer. His main patient in the film is a young woman who refused to drink water and is plagued by a recurrent nightmare.\r\nThe story compresses the years it took Freud (Montgomery Clift) to develop his psychoanalytic theories into what seems like a few months. Nearly every neurotic symptom imaginable manifests itself in one patient, Cecily Koertner (Susannah York). She is sexually repressed, hysterical, and fixated on her father. Freud works extensively with her, developing one hypothesis after another. Also shown is Freud's home life with his wife Martha (Susan Kohner), with whom he alternately discusses his theories, and patronizes when she reads one of his papers.", 0.31774158615356185, 0.11774158615356184)
